"Id","Offense","Offense Conference","Defense","Defense Conference","Home","Away","Offense Score","Defense Score","Game Id","Drive Id","Drive Number","Play Number","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yard Line","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type","Play Text","Ppa","Wallclock"
"401628330101854701","Chattanooga","Southern","Tennessee","SEC","Tennessee","Chattanooga","0","0","401628330","4016283301","1","1","1","14","52","3","3","65","65","1","10","false","35","Kickoff","Alen Karajic kickoff for 65 yds , Cameron Seldon return for 35 yds to the TENN 35","","2024-08-31T16:48:42.000Z"
"401628330101856301","Tennessee","SEC","Chattanooga","Southern","Tennessee","Chattanooga","0","0","401628330","4016283301","1","2","1","14","36","3","3","35","65","1","10","false","11","Pass Reception","Nico Iamaleava pass complete to Chris Brazzell II for a 1ST down","1.0578194730061268","2024-08-31T16:48:42.000Z"
"401628330101857801","Tennessee","SEC","Chattanooga","Southern","Tennessee","Chattanooga","0","0","401628330","4016283301","1","3","1","14","21","3","3","46","54","1","10","false","7","Rush","Dylan Sampson run for 7 yds to the UTC 47","0.6465727155045757","2024-08-31T16:48:42.000Z"
"401628330101859401","Tennessee","SEC","Chattanooga","Southern","Tennessee","Chattanooga","0","0","401628330","4016283301","1","4","1","14","5","3","3","53","47","2","3","false","4","Rush","Dylan Sampson run for 4 yds to the UTC 43 for a 1ST down","0.1859547342497781","2024-08-31T16:48:42.000Z"
"401628330101864301","Tennessee","SEC","Chattanooga","Southern","Tennessee","Chattanooga","0","0","401628330","4016283301","1","5","1","13","56","3","2","57","43","1","10","false","0","Timeout","Timeout Chattanooga, clock 13:56","","2024-08-31T16:48:42.000Z"
"401628330101865201","Tennessee","SEC","Chattanooga","Southern","Tennessee","Chattanooga","0","0","401628330","4016283301","1","6","1","13","47","3","2","57","43","1","10","false","13","Rush","Dylan Sampson run for 13 yds to the UTC 30 for a 1ST down","0.5381269550080832","2024-08-31T16:48:42.000Z"
"401628330101866901","Tennessee","SEC","Chattanooga","Southern","Tennessee","Chattanooga","0","0","401628330","4016283301","1","7","1","13","30","3","2","70","30","1","10","false","9","Rush","Bru McCoy run for 9 yds to the UTC 21","0.687915414120443","2024-08-31T16:48:42.000Z"
"401628330101869601","Tennessee","SEC","Chattanooga","Southern","Tennessee","Chattanooga","0","0","401628330","4016283301","1","8","1","13","3","3","2","79","21","2","1","false","5","Pass Reception","Nico Iamaleava pass complete to Bru McCoy for a 1ST down","-0.4423950024900464","2024-08-31T16:48:42.000Z"
"401628330101875301","Tennessee","SEC","Chattanooga","Southern","Tennessee","Chattanooga","0","0","401628330","4016283301","1","9","1","12","46","3","2","84","16","1","10","false","1","Rush","Dylan Sampson run for 1 yd to the UTC 15","-0.2578378787201336","2024-08-31T16:48:42.000Z"
"401628330101879101","Tennessee","SEC","Chattanooga","Southern","Tennessee","Chattanooga","0","0","401628330","4016283301","1","10","1","12","8","3","2","85","15","2","9","false","5","Rush","Dylan Sampson run for 5 yds to the UTC 10","0.045640711103653","2024-08-31T16:48:42.000Z"
"401628330101886001","Tennessee","SEC","Chattanooga","Southern","Tennessee","Chattanooga","0","0","401628330","4016283301","1","11","1","11","39","3","2","90","10","3","4","false","3","Pass Reception","Nico Iamaleava pass complete to Dylan Sampson","-0.114325999252980","2024-08-31T16:48:42.000Z"
