Week,Total Plays,Positive Plays,Neutral Plays,Negative Plays,Positive %,Neutral %,Negative %
Week1,119,76,35,8,63.86554621848739,29.411764705882355,6.722689075630252
Week2,93,61,24,8,65.59139784946237,25.806451612903224,8.60215053763441
Week3,106,73,30,3,68.86792452830188,28.30188679245283,2.8301886792452833
Week4,103,56,29,18,54.36893203883495,28.155339805825243,17.475728155339805
