"Id","Offense","Offense Conference","Defense","Defense Conference","Home","Away","Offense Score","Defense Score","Game Id","Drive Id","Drive Number","Play Number","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yard Line","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type","Play Text","Ppa","Wallclock"
"401628346101849902","Tennessee","SEC","NC State","ACC","NC State","Tennessee","0","0","401628346","4016283461","1","1","1","15","0","3","3","65","65","1","10","false","0","Kickoff","Josh Turbyville kickoff for 65 yds for a touchback","","2024-09-07T23:44:35.000Z"
"401628346101854401","NC State","ACC","Tennessee","SEC","NC State","Tennessee","0","0","401628346","4016283461","1","2","1","14","55","3","3","25","75","1","10","false","7","Pass Reception","Grayson McCall pass complete to Kevin Concepcion for 7 yds to the NCSU 32","0.6046424600863380","2024-09-07T23:46:29.000Z"
"401628346101859901","NC State","ACC","Tennessee","SEC","NC State","Tennessee","0","0","401628346","4016283461","1","3","1","14","0","3","3","32","68","2","3","false","-3","Rush","Jordan Waters run for a loss of 3 yards to the NCSU 29","-1.36983597193633155","2024-09-07T23:47:03.000Z"
"401628346101869901","NC State","ACC","Tennessee","SEC","NC State","Tennessee","0","0","401628346","4016283461","1","4","1","13","0","3","3","29","71","3","6","false","7","Pass Reception","Grayson McCall pass complete to Kevin Concepcion for 7 yds to the NCSU 36 for a 1ST down","1.69575602379598405","2024-09-07T23:48:06.000Z"
"401628346101876701","NC State","ACC","Tennessee","SEC","NC State","Tennessee","0","0","401628346","4016283461","1","5","1","12","32","3","3","36","64","1","10","false","6","Pass Reception","Grayson McCall pass complete to Kevin Concepcion for 6 yds to the NCSU 42","0.4008542507084805","2024-09-07T23:48:38.000Z"
"401628346101879102","NC State","ACC","Tennessee","SEC","NC State","Tennessee","0","0","401628346","4016283461","1","6","1","12","8","3","3","42","58","2","4","false","0","Pass Incompletion","Grayson McCall pass incomplete","-1.1835367190191839","2024-09-07T23:48:49.000Z"
"401628346101884801","NC State","ACC","Tennessee","SEC","NC State","Tennessee","0","0","401628346","4016283461","1","7","1","11","51","3","3","42","58","3","4","false","6","Pass Reception","Grayson McCall pass complete to Dacari Collins for 6 yds to the NCSU 48 for a 1ST down","1.9218207873756034","2024-09-07T23:49:57.000Z"
"401628346101888801","NC State","ACC","Tennessee","SEC","NC State","Tennessee","0","0","401628346","4016283461","1","8","1","11","11","3","3","48","52","1","10","false","4","Pass Reception","Grayson McCall pass complete to Hollywood Smothers for 4 yds to the TENN 48","-0.1504912861657514","2024-09-07T23:50:45.000Z"
"401628346101895001","NC State","ACC","Tennessee","SEC","NC State","Tennessee","0","0","401628346","4016283461","1","9","1","10","49","3","3","52","48","2","6","false","5","Penalty","Tennessee Penalty, Defensive Offside (5 Yards) to the TENN 43","","2024-09-07T23:51:49.000Z"
"401628346101897801","NC State","ACC","Tennessee","SEC","NC State","Tennessee","0","0","401628346","4016283461","1","10","1","10","21","3","3","57","43","2","1","false","-3","Rush","Jordan Waters run for a loss of 3 yards to the TENN 46","-1.9722697714722365","2024-09-07T23:52:21.000Z"
